Joint_1_x,Joint_1_y,Joint_1_z,Joint_2_x,Joint_2_y,Joint_2_z,Joint_3_x,Joint_3_y,Joint_3_z,Correct
-0.3642306,0.6210226,-2.454421,-0.6158846,0.6316408,-2.368945,-0.5997044,0.8380842,-2.198864,1
-0.364228,0.6210187,-2.454488,-0.6155943,0.6324193,-2.36827,-0.5984707,0.8391058,-2.198577,1
-0.3632334,0.6203964,-2.451485,-0.6135998,0.6348484,-2.362849,-0.5939027,0.8420615,-2.19408,1
-0.3632334,0.6203964,-2.451485,-0.6135998,0.6348484,-2.362849,-0.5939027,0.8420615,-2.19408,1
-0.3613169,0.6180537,-2.443603,-0.6109257,0.6365513,-2.353593,-0.5890198,0.8449676,-2.186587,1
-0.3618523,0.6214752,-2.449634,-0.6098103,0.6507558,-2.357939,-0.5858086,0.8604673,-2.192853,1
-0.3613045,0.623421,-2.451506,-0.6084148,0.6574249,-2.359155,-0.5827773,0.8677419,-2.195089,1
-0.3609827,0.6264681,-2.458355,-0.6067976,0.6643214,-2.364065,-0.5787882,0.8748705,-2.200686,1
-0.3615716,0.6265719,-2.456942,-0.6062847,0.6682342,-2.3614,-0.5763159,0.8800787,-2.200055,1
-0.3626149,0.6273178,-2.45419,-0.6057544,0.6739359,-2.356936,-0.5735413,0.8885211,-2.199697,1
-0.3606956,0.6321615,-2.457733,-0.600791,0.6877046,-2.357644,-0.5651299,0.902952,-2.202065,1
-0.3604859,0.6352068,-2.457715,-0.5985824,0.6960726,-2.35596,-0.5617409,0.9111421,-2.200409,1
-0.3583568,0.637128,-2.459912,-0.5951065,0.7033578,-2.358366,-0.5591961,0.9186773,-2.202943,1
-0.3591275,0.6388662,-2.459776,-0.5934899,0.7106562,-2.356485,-0.557197,0.9280795,-2.20411,1
-0.3581399,0.6402932,-2.460423,-0.5905492,0.7182273,-2.357172,-0.5556853,0.9371936,-2.206685,1
-0.3554902,0.6439279,-2.462289,-0.5858383,0.7278526,-2.359115,-0.5508473,0.9457226,-2.207074,1
-0.3546028,0.646367,-2.458476,-0.5827041,0.7351297,-2.354363,-0.5490408,0.9534615,-2.202685,1
-0.3526576,0.6481972,-2.462049,-0.5783682,0.7438988,-2.358878,-0.5502788,0.9646793,-2.209629,1
