Time,Right_Angle,Left_Angle
1.644767045974731,103.4904,94.27859
1.663235902786255,103.8698,94.11442
1.678050994873047,103.8698,94.11442
1.695677042007446,104.2357,93.72733
1.711282014846802,104.5447,93.57233
1.729305028915405,104.3947,93.25822
1.744593858718872,104.4176,92.86303
1.762521028518677,105.393,92.8905
1.778959035873413,105.5845,92.83804
1.795480966567993,106.2849,93.15026
1.812290906906128,106.3111,93.17236
1.8278648853302,105.8074,92.97507
1.845343828201294,105.1465,92.19235
1.862089872360229,104.9029,92.91732
1.878723859786987,104.2951,93.0291
1.895360946655273,103.5088,93.18538
1.912035942077637,102.1734,93.13577
1.927752017974854,102.1734,93.13577
1.945250034332275,101.0328,92.43762
1.96093487739563,100.2652,91.96709
1.978501081466675,100.2723,92.58779
1.995093107223511,100.9561,93.34589
2.012154817581177,100.4515,92.71343
2.027435064315796,98.78375,92.00671
2.045213937759399,98.10965,91.11171
2.060819864273071,98.60489,90.08344
2.078444957733154,98.12213,89.41413
2.095081090927124,98.52774,89.83724
2.110769033432007,98.2095,89.83038
2.128516912460327,98.47427,89.94218
2.143892049789429,97.73965,89.56814
2.161679029464722,96.99146,88.98732
2.178223848342896,96.86987,89.36703
2.194833040237427,97.1748,89.38411
2.21061110496521,96.65182,89.58943
2.22853684425354,95.78552,88.79037
2.244838953018188,95.11047,88.70517
2.260400056838989,94.13309,88.7506
2.277998924255371,93.16531,88.41733
2.294765949249268,91.98566,88.33305
2.311563968658447,92.89209,89.02519
2.326853036880493,93.04153,88.92487
2.344547986984253,92.6019,88.13015
2.36142897605896,93.10794,88.37166
2.377866983413696,93.08417,88.66489
2.394509077072144,92.41812,88.58946
2.410066843032837,92.20047,89.10779
2.427881002426147,91.90692,89.23553
2.4445641040802,91.2457,89.41286
2.459999799728394,92.06537,89.8446
2.477718114852905,91.90247,90.05205
2.493245840072632,91.76813,90.28856
2.511302947998047,92.03897,90.78946
2.526631116867065,91.90515,91.01173
2.544244050979614,91.72891,90.79089
2.560899019241333,91.58322,90.73417
2.577610969543457,91.12085,90.44916
2.59312891960144,90.42709,90.14822
2.610944986343384,90.22314,89.68215
2.627475023269653,89.79642,88.89098
2.644124984741211,90.21484,88.6862
2.659681081771851,90.03931,88.13208
2.6772620677948,90.17487,88.16869
2.694159984588623,90.70786,88.06041
2.70966100692749,90.49179,87.54091
2.727334022521973,90.45282,87.32261
2.743853807449341,90.7186,87.26302
2.759554147720337,90.54214,87.09563
2.777164936065674,90.20935,86.79944
2.793738126754761,89.43341,86.50674
2.810442924499512,89.5658,85.86932
2.827142953872681,89.46875,85.42169
2.842603921890259,88.88843,85.09332
2.860404968261719,88.45029,84.57301
2.877107858657837,87.7355,84.13986
2.892607927322388,86.53436,82.9948
2.91041111946106,85.77176,82.02293
2.927596807479858,84.63992,80.72424
2.943655014038086,83.85031,79.67952
2.977536916732788,83.11646,77.1568
2.993335962295532,82.40503,76.30401
3.010406970977783,81.48801,75.3534
3.026763916015625,81.19391,75.04913
3.042392015457153,80.28534,74.17497
3.060127019882202,80.14053,74.69018
3.076698064804077,79.55042,72.98344
3.093483924865723,-78.5827,72.56696
3.108989953994751,-78.33734,73.08042
3.126548051834106,-78.56826,73.10448
3.143198013305664,-78.48833,73.10235
3.15888500213623,-78.50133,73.59338
3.176576852798462,-78.78709,73.53819
3.192101001739502,-78.9687,73.3856
3.209802865982056,-79.0695,72.9495
3.226374864578247,-79.07943,73.4771
3.242987871170044,-79.26994,73.54383
3.259714841842651,-79.86128,74.22497
3.276232004165649,-80.57327,75.19889
3.292886018753052,-81.00037,75.63501
3.309597015380859,-82.05997,76.77587
3.326175928115845,-82.64474,77.76034
3.342901945114136,-82.75321,77.95033
3.358589887619019,83.65683,79.26018
3.376135110855103,83.76868,79.46729
3.392811059951782,84.36606,80.29376
3.409478902816772,84.74417,80.35053
3.426106929779053,84.81268,80.40579
3.442724943161011,84.97491,80.42828
3.458369016647339,85.23755,80.91579
3.476696968078613,85.33569,80.76051
3.49179482460022,85.34088,81.01369
3.509972810745239,85.41217,80.89028
3.52600884437561,85.60739,80.64087
3.541436910629272,85.35504,80.07812
3.559379816055298,85.37436,80.22665
3.575762033462524,85.02188,80.11259
3.591362953186035,84.88443,79.69046
3.609138965606689,84.85202,79.84294
3.624692916870117,84.65308,79.81461
3.642480134963989,85.00153,79.88879
3.657984018325806,84.85379,79.77505
3.675619840621948,84.66473,79.80443
3.692256927490234,84.75323,79.77386
3.708832979202271,84.31415,79.61247
3.72549295425415,84.16129,79.7645
3.741185903549194,84.24487,79.61047
3.758817911148071,84.17139,79.72152
3.77537202835083,84.24469,79.93993
3.791072130203247,84.12967,80.11083
